,en,en_perso,fr,fr_perso,es,de,se
ll,0.57316,0.76085,0.5053,0.49341,0.27249,0.4995,0.94196
lm,0.03714,0.0125,0.03405,0.00374,0.14853,0.04268,0.13451
ln,0.011635,0.00112,0.02479,0,0.03941,0.04416,0.06455
lo,0.37378,0.51958,0.34832,0.23175,0.84015,0.10742,0.21487
lp,0.03893,0.03683,0.04063,0.00374,0.23221,0.01661,0.04557
lq,0.000955,0,0.02442,0.0401,0.04446,0.0007,0.00087
lr,0.02243,0.02946,0.02023,0.00068,0.05253,0.01465,0.02268
ls,0.17107,0.13302,0.12462,0.11724,0.10865,0.22172,0.27325
lt,0.14065,0.11896,0.06442,0.03534,0.18055,0.28918,0.17683
lu,0.118505,0.11003,0.30251,0.34763,0.14634,0.13217,0.12834
lv,0.031775,0.02857,0.01275,0.00884,0.06167,0.02981,0.09476
lw,0.02756,0.00469,0.00175,0,0.00146,0.02399,0.00376
lx,0.000335,0.00067,0.00043,0.0017,0.00083,0.00016,0.00198
ly,0.371405,0.40955,0.02909,0.01495,0.02748,0.01558,0.07602
lz,0.000875,0.00045,0.00138,0.01121,0.00529,0.02949,0.0018
lé,0,0.00022,0.17845,0.11588,0,0,0
lè,0,0,0.03005,0.06626,0,0,0
lê,0,0,0.00085,0.00068,0,0,0
là,0,0,0.01392,0.0683,0,0,0
lç,0,0,0.00003,0,0,0,0
lâ,0,0.00022,0.0057,0.00238,0,0,0
lî,0,0,0.0043,0,0,0,0
lô,0,0,0.00218,0.00034,0,0,0
l.,0,0.04017,0,0.0282,0,0,0
"l,",0,0.06874,0,0.04112,0,0,0
l-,0,0.00848,0,0.00476,0,0,0
l',0,0,0,0.19268,0,0,0
l/,0,0.00268,0,0.0017,0,0,0
ma,0.535035,0.59368,0.48042,0.72143,0.65448,0.39302,0.53876
mb,0.09279,0.06093,0.13409,0.11316,0.16026,0.08136,0.10718
mc,0.014895,0.00156,0.00704,0,0.00337,0.00862,0.00956
md,0.0059,0.00022,0.02467,0.00068,0.00337,0.07772,0.06783
me,0.711455,0.65863,0.79607,1.04459,0.50583,0.52352,0.77178
mf,0.01018,0.00201,0.00247,0,0.00077,0.04874,0.08477
mg,0.003905,0.0067,0.00192,0.00136,0.00097,0.04553,0.03846
mh,0.008485,0.00022,0.00273,0,0.00149,0.02926,0.06514
mi,0.299555,0.22073,0.30716,0.23617,0.42866,0.4702,0.23843
mj,0.0016,0,0.00102,0,0.00051,0.02446,0.011
mk,0.001355,0,0.00104,0,0.00038,0.03443,0.04616
ml,0.00784,0.00246,0.00664,0.00238,0.00419,0.03211,0.07402
mm,0.09117,0.16761,0.20215,0.25622,0.00301,0.22622,0.25341
mn,0.01085,0.00357,0.00908,0.00408,0.01054,0.03385,0.11744
mo,0.31819,0.33545,0.26013,0.3021,0.40315,0.1036,0.21059
mp,0.21019,0.24707,0.24814,0.28205,0.23374,0.0873,0.10273
mq,0.00026,0,0.00191,0,0.0009,0.00139,0.00061
mr,0.009195,0.02254,0.00379,0.00136,0.00202,0.02717,0.05072
ms,0.091775,0.09128,0.01969,0.0452,0.02757,0.13325,0.15506
mt,0.03602,0.00781,0.00825,0.00578,0.00344,0.08381,0.10527
mu,0.10074,0.12253,0.08418,0.04859,0.18631,0.10245,0.11094
mv,0.00172,0.00045,0.00165,0,0.0015,0.04125,0.03866
mw,0.01113,0,0.00157,0,0.00028,0.04008,0.00276
mx,0.000185,0,0.00026,0,0.0014,0.00053,0.00042
my,0.053635,0.06361,0.00813,0.0034,0.00234,0.00255,0.04312
mz,0.000225,0.00045,0.00027,0,0.00018,0.02375,0.00056
mé,0,0,0.11902,0.08325,0,0,0
mè,0,0,0.02503,0.01461,0,0,0
mê,0,0,0.03937,0.08529,0,0,0
mà,0,0,0.00187,0,0,0,0
mç,0,0,0.00001,0,0,0,0
mâ,0,0,0.00245,0.00068,0,0,0
mî,0,0,0.00005,0,0,0,0
mô,0,0,0.00031,0,0,0,0
m.,0,0.06339,0,0.02617,0,0,0
"m,",0,0.04419,0,0.01461,0,0,0
m-,0,0.0058,0,0.00102,0,0,0
m',0,0.00179,0,0.00951,0,0,0
m/,0,0.00937,0,0.00102,0,0,0
na,0.445895,0.24283,0.45413,0.23651,0.91998,0.5968,0.97577
nb,0.04383,0.00424,0.03467,0.00068,0.03183,0.22753,0.16256
nc,0.3838,0.3792,0.46308,0.46793,0.55183,0.05734,0.05497
nd,1.210285,1.05546,0.65797,0.45399,0.64711,1.67608,1.06969
ne,0.661895,0.79701,0.96307,1.01469,0.82251,1.19258,0.53546
nf,0.09083,0.07365,0.1213,0.09719,0.11854,0.20331,0.25091
ng,0.92246,1.17799,0.17649,0.25384,0.11903,0.87062,0.82373
nh,0.050715,0.00201,0.02586,0.00034,0.04054,0.15658,0.16646
ni,0.371405,0.2002,0.3502,0.26268,0.44471,0.52834,0.59068
nj,0.02107,0.00246,0.02481,0.0666,0.03048,0.05293,0.04489
nk,0.060995,0.09709,0.01121,0.0034,0.00663,0.29102,0.20318
nl,0.07459,0.08236,0.08755,0.01359,0.28712,0.11296,0.1468
nm,0.05778,0.01138,0.06905,0.00238,0.11763,0.19731,0.16662
nn,0.096285,0.07209,0.31373,0.26879,0.0481,0.44073,0.39415
no,0.45076,0.40308,0.31786,0.37855,0.63179,0.17092,0.39948
np,0.03734,0.01138,0.14755,0.00204,0.15716,0.09288,0.10173
nq,0.00549,0.00156,0.05091,0.02549,0.07669,0.00746,0.00179
nr,0.03225,0.01071,0.07263,0.01189,0.05437,0.08326,0.07981
ns,0.500835,0.36268,0.81831,0.7357,0.35467,0.70656,0.96727
nt,1.106885,0.80259,1.69512,1.76874,1.2157,0.62619,0.53636
nu,0.08248,0.05937,0.09992,0.08461,0.22269,0.2867,0.13715
nv,0.05138,0.03192,0.07862,0.09005,0.09131,0.15354,0.2191
nw,0.05165,0.00692,0.00366,0.00068,0.00205,0.23615,0.00896
nx,0.002175,0.00022,0.00141,0,0.00086,0.00095,0.00146
ny,0.09918,0.06093,0.01905,0.00238,0.03921,0.0065,0.06389
nz,0.005265,0.00759,0.00879,0.03364,0.04867,0.25301,0.00718
né,0,0.00022,0.19443,0.12369,0,0,0
nè,0,0,0.00673,0.00476,0,0,0
nê,0,0.00022,0.00251,0.00374,0,0,0
nà,0,0,0.01936,0,0,0,0
nç,0,0.00112,0.03073,0.02515,0,0,0
nâ,0,0.00022,0.00218,0,0,0,0
nî,0,0,0.00042,0.00102,0,0,0
nô,0,0,0.00057,0.00034,0,0,0
n.,0,0.10981,0,0.0768,0,0,0
"n,",0,0.10401,0,0.11248,0,0,0
n-,0,0.02879,0,0.02345,0,0,0
n',0,0.01763,0,0.04316,0,0,0
n/,0,0.01808,0,0.0017,0,0,0
oa,0.10453,0.15043,0.01542,0.0085,0.28216,0.02669,0.02144
ob,0.12017,0.0712,0.07452,0.08224,0.222,0.09182,0.06022
oc,0.171625,0.08794,0.13986,0.12879,0.41573,0.1535,0.78158
od,0.18572,0.2031,0.09858,0.0666,0.66282,0.09115,0.12925
oe,0.049565,0.05044,0.02099,0.01257,0.39033,0.02539,0.01973
of,0.940635,0.69456,0.0479,0.02413,0.08901,0.08184,0.08323
og,0.09515,0.03192,0.08578,0.02549,0.09868,0.06941,0.11378
oh,0.04831,0.02522,0.0111,0.02719,0.09106,0.07403,0.02978
oi,0.10558,0.13481,0.39585,0.68507,0.06415,0.01537,0.01724
oj,0.011135,0.00826,0.01096,0.00544,0.02966,0.01125,0.01233
ok,0.07144,0.05892,0.00902,0.00884,0.00543,0.03257,0.07472
ol,0.341465,0.29662,0.22795,0.20797,0.47616,0.2808,0.32113
om,0.51672,0.48119,0.42285,0.40404,0.47601,0.17153,0.87708
on,1.537135,1.72971,1.70384,2.132,1.60674,0.63263,0.59726
oo,0.222715,0.18257,0.02277,0.01257,0.0421,0.02418,0.03128
op,0.2329,0.19663,0.14214,0.1186,0.3434,0.07553,0.11161
oq,0.00194,0.00045,0.02331,0.02039,0.16182,0.0004,0.00036
or,1.16699,1.15299,0.5779,0.5189,0.98472,0.47101,0.6931
os,0.3022,0.3388,0.18207,0.26132,1.79467,0.13294,0.1472
ot,0.45333,0.39839,0.13429,0.14374,0.23828,0.10057,0.23881
ou,0.79475,0.8383,0.93431,1.76602,0.08788,0.03493,0.04559
ov,0.174035,0.14887,0.03985,0.02447,0.10082,0.02599,0.06868
ow,0.33418,0.35576,0.01085,0.01053,0.00523,0.0445,0.01741
ox,0.016805,0.01875,0.01027,0.00238,0.02156,0.00483,0.0094
oy,0.04044,0.01629,0.04827,0.06457,0.14125,0.00378,0.00797
oz,0.00438,0.00357,0.00361,0.00204,0.02147,0.05809,0.00302
oé,0,0,0.00442,0.00612,0,0,0
oè,0,0,0.00287,0.00136,0,0,0
oê,0,0,0.00009,0,0,0,0
oà,0,0,0.00142,0,0,0,0
oç,0,0,0.00002,0,0,0,0
oâ,0,0,0.00002,0,0,0,0
oî,0,0,0.00279,0.00102,0,0,0
oô,0,0,0.00001,0,0,0,0
o.,0,0.01629,0,0.00816,0,0,0
"o,",0,0.05312,0,0.01223,0,0,0
o-,0,0.00937,0,0.0034,0,0,0
o',0,0.00067,0,0,0,0,0
o/,0,0,0,0.00068,0,0,0
pa,0.301335,0.38411,0.61353,1.00789,0.68542,0.12928,0.20305
pb,0.004925,0.00022,0.00108,0.00068,0.00186,0.0021,0.00653
pc,0.00522,0.00022,0.0039,0.00272,0.01207,0.00336,0.00268
pd,0.00376,0.03973,0.01134,0.01393,0.002,0.01392,0.00986
pe,0.41907,0.34773,0.3824,0.44788,0.42942,0.12531,0.32391
pf,0.00556,0.02991,0.00206,0.03296,0.00133,0.05768,0.01959
pg,0.002675,0.00424,0.00112,0.00136,0.0011,0.0022,0.01219
ph,0.079865,0.03192,0.08806,0.03976,0.00367,0.02391,0.02194
pi,0.125825,0.15422,0.11938,0.1434,0.1346,0.10726,0.07099
pj,0.000595,0,0.00046,0.00204,0.00072,0.00045,0.00358
pk,0.00137,0.00022,0.00049,0,0.00021,0.00399,0.00726
pl,0.244955,0.27675,0.29239,0.33846,0.13748,0.06843,0.10427
pm,0.01875,0.01071,0.0024,0.0068,0.00108,0.00333,0.01433
pn,0.002115,0.00246,0.00199,0.00136,0.00475,0.00155,0.01663
po,0.31849,0.32474,0.51183,0.82813,0.61108,0.0995,0.12983
pp,0.124625,0.11851,0.11837,0.11928,0.01262,0.04931,0.23231
pq,0.000235,0,0.00063,0,0.00059,0.00007,0.00008
pr,0.389765,0.36402,0.50049,0.54065,0.49449,0.25086,0.20376
ps,0.05477,0.0741,0.04764,0.09243,0.01618,0.01544,0.0593
pt,0.096975,0.13548,0.07384,0.07816,0.03,0.0388,0.06167
pu,0.09688,0.06785,0.11242,0.11248,0.19687,0.04371,0.04274
pv,0.000665,0,0.00103,0,0.00092,0.00237,0.00731
pw,0.00674,0.00312,0.00032,0,0.00037,0.00185,0.00062
px,0.000105,0.00022,0.0003,0,0.00001,0.00009,0.00011
py,0.01046,0.0058,0.00323,0.0017,0.00231,0.001,0.00371
pz,0.000225,0,0.00027,0,0.00085,0.00278,0.00058
pé,0,0,0.08853,0.06015,0,0,0
pè,0,0,0.01986,0.01699,0,0,0
pê,0,0,0.00562,0.00238,0,0,0
pà,0,0,0.00061,0,0,0,0
pç,0,0,0.0006,0,0,0,0
pâ,0,0,0.00171,0.00748,0,0,0
pî,0,0,0.00013,0,0,0,0
pô,0,0,0.00339,0,0,0,0
p.,0,0.04062,0,0.03806,0,0,0
"p,",0,0.01027,0,0.01699,0,0,0
p-,0,0.00513,0,0.00136,0,0,0
p',0,0.00045,0,0,0,0,0
p/,0,0.00134,0,0.00238,0,0,0
qa,0.000925,0.00067,0.00201,0.00238,0.00169,0.00046,0.0008
qb,0.000335,0,0.00021,0,0.00003,0.00008,0.00015
qc,0.000145,0.00201,0.00072,0.00136,0.00005,0.0005,0.00003
qd,0.00011,0,0.00051,0,0.00006,0.00007,0.00007
qe,0.00008,0,0.00068,0,0.00011,0.0001,0.00014
qf,0.000115,0,0.00035,0.00034,0.00002,0.00009,0.00008
qg,0.00003,0,0.0002,0,0.00001,0.00014,0.00003
qh,0.000145,0,0.00017,0,0.00004,0.00005,0.00005
qi,0.00101,0.00067,0.00133,0,0.00015,0.00055,0.00059
qj,0.00002,0,0.00022,0,0.00001,0.00001,0.00001
qk,0.000025,0,0.00007,0,0,0.00005,0.00006
ql,0.00023,0,0.00035,0,0.00007,0.00016,0.00017
qm,0.00016,0.00379,0.00066,0.0017,0.00003,0.00019,0.0001
qn,0.00008,0.00446,0.00019,0.0051,0.00003,0.00006,0.00006
qo,0.000135,0,0.00024,0,0.00004,0.00005,0.00017
qp,0.000075,0,0.00066,0,0.00006,0.00004,0.00007
qq,0.00006,0.00022,0.00017,0.00068,0.00004,0.00002,0.00007
qr,0.0001,0.00022,0.00028,0.00034,0.00006,0.00005,0.0001
qs,0.00032,0.00268,0.00077,0.0017,0.00022,0.00025,0.00022
qt,0.00022,0.00022,0.00029,0.00034,0.00002,0.00008,0.00015
qu,0.12198,0.16538,0.84415,1.31339,0.84002,0.03382,0.0142
qv,0.00006,0,0.0002,0,0.00002,0.00011,0.00196
qw,0.000405,0,0.00005,0,0.00007,0.00013,0.00009
qx,0.000015,0,0.00002,0,0,0.00001,0.00003
qy,0.000055,0,0.00002,0,0.00005,0.00001,0.00003
qz,0.000005,0,0.00001,0,0.00001,0.00006,0.00003
qé,0,0,0.00022,0,0,0,0
qè,0,0,0,0,0,0,0
qê,0,0,0,0,0,0,0
qà,0,0,0.00011,0,0,0,0
qç,0,0,0,0,0,0,0
qâ,0,0,0.00005,0,0,0,0
qî,0,0,0.00002,0,0,0,0
qô,0,0,0,0,0,0,0
q.,0,0.00179,0,0,0,0,0
"q,",0,0.00112,0,0,0,0,0
q-,0,0,0,0,0,0,0
q',0,0,0,0,0,0,0
q/,0,0.00022,0,0,0,0,0
ra,0.674045,0.6006,0.79231,0.9311,1.47078,0.68614,1.20719
rb,0.052045,0.04263,0.0414,0.03568,0.02644,0.26731,0.19418
rc,0.141335,0.12275,0.17128,0.15496,0.17321,0.09396,0.03394
rd,0.199025,0.16895,0.29831,0.21918,0.22543,0.6433,0.40633
re,1.63162,1.90223,1.62078,1.84928,1.42134,1.10768,1.09952
rf,0.055865,0.0895,0.04096,0.03602,0.02101,0.19267,0.20853
rg,0.103605,0.06182,0.09122,0.07748,0.10302,0.28847,0.18669
rh,0.04188,0.0087,0.0122,0.00374,0.01543,0.17155,0.14587
ri,0.68335,0.54927,0.64507,0.60317,0.73199,0.55125,0.85526
rj,0.006265,0.00067,0.01088,0.00102,0.01016,0.05123,0.06523
rk,0.10045,0.07298,0.01494,0.00646,0.00772,0.25795,0.29736
rl,0.09867,0.0433,0.32333,0.05913,0.18109,0.18445,0.18025
rm,0.172875,0.13659,0.18594,0.15156,0.19001,0.21192,0.24923
rn,0.16187,0.0674,0.12942,0.09855,0.12639,0.32392,0.39047
ro,0.701355,0.64033,0.53776,0.60657,0.84876,0.34524,0.51819
rp,0.0623,0.0241,0.08047,0.01529,0.07442,0.09036,0.10155
rq,0.002315,0.01027,0.04062,0.04078,0.0611,0.00376,0.0012
rr,0.12855,0.10601,0.1709,0.18248,0.19269,0.12136,0.14287
rs,0.44383,0.28836,0.45245,0.32996,0.18838,0.56344,0.65335
rt,0.428935,0.25644,0.41219,0.31399,0.32272,0.53684,0.39136
ru,0.1258,0.11226,0.16079,0.09345,0.15308,0.31668,0.26305
rv,0.065775,0.03437,0.06804,0.02956,0.04598,0.12621,0.1474
rw,0.045095,0.03169,0.00392,0.00238,0.00131,0.18097,0.00777
rx,0.00103,0,0.00104,0,0.00187,0.001,0.00184
ry,0.22549,0.16203,0.02014,0.00612,0.02411,0.00852,0.07483
rz,0.00163,0,0.00293,0,0.02855,0.16055,0.00341
ré,0,0.00268,0.38534,0.31943,0,0,0
rè,0,0,0.09299,0.07952,0,0,0
rê,0,0,0.0256,0.02617,0,0,0
rà,0,0,0.02591,0,0,0,0
rç,0,0,0.00494,0.00951,0,0,0
râ,0,0.00045,0.00791,0.0034,0,0,0
rî,0,0,0.00015,0.00034,0,0,0
rô,0,0,0.01543,0.00476,0,0,0
r.,0,0.08392,0,0.10262,0,0,0
"r,",0,0.08035,0,0.15632,0,0,0
r-,0,0.01428,0,0.00442,0,0,0
r',0,0.00246,0,0,0,0,0
r/,0,0.00246,0,0.0017,0,0,0
sa,0.456825,0.21471,0.63257,0.42681,0.66894,0.36857,0.51793
sb,0.068175,0.02009,0.06512,0.02175,0.03997,0.12393,0.09061
sc,0.202265,0.09195,0.33747,0.07714,0.40077,0.77207,0.06052
sd,0.04706,0.0183,0.61287,0.00272,0.59631,0.18078,0.08663
se,0.830665,0.88115,1.08894,0.86177,1.11007,0.83016,0.49495
sf,0.078815,0.0067,0.1076,0.0068,0.07694,0.07898,0.12973
sg,0.024865,0.00089,0.05272,0,0.0452,0.14052,0.03924
sh,0.35157,0.29885,0.06655,0.03636,0.1002,0.10619,0.1009
si,0.57288,0.67805,0.58456,0.57225,0.67919,0.59497,0.47995
sj,0.00828,0,0.03402,0,0.02454,0.0276,0.06803
sk,0.04658,0.05892,0.01515,0.00408,0.00941,0.09986,0.80126
sl,0.08535,0.04218,0.36906,0.01461,0.15285,0.08534,0.19949
sm,0.09713,0.03928,0.16417,0.01019,0.21831,0.1047,0.16049
sn,0.052665,0.0703,0.07131,0.02583,0.07422,0.05772,0.0762
so,0.475265,0.36402,0.58428,0.46725,0.48958,0.27719,0.62963
sp,0.217855,0.22319,0.42943,0.12165,0.52678,0.27066,0.25455
sq,0.012975,0.00536,0.13482,0.07612,0.14505,0.00345,0.00167
sr,0.043625,0.00134,0.11635,0.00136,0.09026,0.057,0.04986
ss,0.421265,0.41959,0.66783,0.57701,0.1884,0.56356,0.3748
st,1.151355,1.01149,0.86013,0.92226,0.95443,1.21449,1.27071
su,0.27158,0.27296,0.37068,0.48322,0.44326,0.13164,0.10027
sv,0.01082,0.00424,0.06455,0.0017,0.05433,0.09318,0.20407
sw,0.112055,0.02701,0.00622,0.00068,0.00171,0.11263,0.00863
sx,0.0006,0.00022,0.00266,0,0.00063,0.0008,0.00101
sy,0.054025,0.05267,0.04363,0.04554,0.1341,0.01627,0.06887
sz,0.00105,0.00022,0.00447,0,0.00301,0.07799,0.00307
sé,0,0.00022,0.21764,0.10772,0,0,0
sè,0,0,0.01004,0.00272,0,0,0
sê,0,0,0.00358,0,0,0,0
sà,0,0,0.06862,0,0,0,0
sç,0,0,0.00014,0.00034,0,0,0
sâ,0,0,0.00163,0.00034,0,0,0
sî,0,0,0.00159,0.00034,0,0,0
sô,0,0,0.0001,0,0,0,0
s.,0,0.24595,0,0.23821,0,0,0
"s,",0,0.20734,0,0.35069,0,0,0
s-,0,0.01495,0,0.0282,0,0,0
s',0,0.00134,0,0.06389,0,0,0
s/,0,0.00402,0,0.00306,0,0,0
ta,0.56729,0.564,0.71255,0.56749,1.09037,0.51465,1.02644
tb,0.04539,0.00647,0.03537,0.00238,0.00713,0.08847,0.13049
tc,0.07316,0.02277,0.15296,0.01393,0.00784,0.01345,0.02651
td,0.027785,0.00335,0.44901,0.00102,0.00551,0.28897,0.10069
te,1.091505,0.97846,1.19069,1.05785,1.00444,1.97999,1.17937
tf,0.04178,0.00402,0.04767,0.00034,0.00248,0.06353,0.19617
tg,0.018675,0.00067,0.02273,0.00136,0.0014,0.09969,0.07985
th,3.13095,4.15711,0.11133,0.08631,0.01296,0.13302,0.17344
ti,1.167215,1.11282,1.0436,0.80163,0.67092,0.54856,1.01277
tj,0.006525,0,0.02072,0,0.0014,0.02077,0.04223
tk,0.007285,0.00022,0.00461,0,0.0004,0.04696,0.09343
tl,0.1117,0.08213,0.34175,0.0034,0.0085,0.11956,0.10857
tm,0.056715,0.01071,0.06728,0.00204,0.00498,0.10573,0.14559
tn,0.02561,0.00513,0.04043,0.00034,0.01057,0.08226,0.11792
to,1.053865,1.17018,0.33918,0.37957,0.78356,0.16887,0.45801
tp,0.03765,0.00491,0.20987,0.00272,0.00436,0.03577,0.08868
tq,0.001885,0,0.06019,0,0.00134,0.00129,0.00219
tr,0.39585,0.3696,0.7309,0.83357,0.59877,0.30976,0.40076
ts,0.387545,0.30153,0.37373,0.25248,0.00897,0.46095,0.48799
tt,0.309285,0.15065,0.23835,0.2654,0.01026,0.26034,0.96641
tu,0.22548,0.2406,0.3226,0.34185,0.21237,0.24636,0.18095
tv,0.008655,0,0.02951,0,0.00253,0.0794,0.18294
tw,0.144215,0.08905,0.00436,0.00374,0.00079,0.20026,0.0072
tx,0.000385,0.00022,0.00124,0.00068,0.00566,0.00086,0.00196
ty,0.206245,0.11092,0.02785,0.01223,0.0045,0.00971,0.1124
tz,0.005165,0.00268,0.00577,0.00068,0.00774,0.28312,0.00845
té,0,0.00067,0.39377,0.30176,0,0,0
tè,0,0.00045,0.02648,0.02413,0,0,0
tê,0,0,0.02459,0.00918,0,0,0
tà,0,0,0.0816,0,0,0,0
tç,0,0,0.00018,0,0,0,0
tâ,0,0.00022,0.00188,0.00136,0,0,0
tî,0,0,0.00013,0,0,0,0
tô,0,0,0.00848,0.02039,0,0,0
t.,0,0.15824,0,0.14646,0,0,0
"t,",0,0.12253,0,0.21952,0,0,0
t-,0,0.02522,0,0.12233,0,0,0
t',0,0.00759,0,0.00136,0,0,0
t/,0,0.00223,0,0.00102,0,0,0
ua,0.12124,0.07611,0.11383,0.09787,0.20108,0.04467,0.03241
ub,0.078875,0.0337,0.08416,0.0299,0.07979,0.06305,0.04575
uc,0.160225,0.19663,0.17812,0.13321,0.15712,0.21442,0.02434
ud,0.086165,0.07254,0.1493,0.13966,0.12086,0.05527,0.08936
ue,0.13072,0.18011,0.73279,0.90323,1.2111,0.14973,0.03358
uf,0.01738,0.0308,0.04059,0.03908,0.02064,0.33924,0.01484
ug,0.11983,0.08303,0.05307,0.03738,0.05043,0.08893,0.03426
uh,0.00446,0.00067,0.00872,0.00102,0.00677,0.04494,0.00516
ui,0.09083,0.0895,0.47983,0.56443,0.18663,0.01753,0.0188
uj,0.00128,0,0.03647,0.04757,0.02679,0.00221,0.00173
uk,0.008255,0.00491,0.00765,0.00034,0.0015,0.03888,0.06021
ul,0.29055,0.42852,0.23006,0.16651,0.17995,0.08437,0.13684
um,0.11995,0.1627,0.14195,0.07884,0.11247,0.25218,0.10393
un,0.3734,0.21828,0.67339,0.77954,0.84326,1.13474,0.40887
uo,0.012845,0.00179,0.01686,0.02549,0.01456,0.0081,0.00591
up,0.12937,0.13838,0.17755,0.13729,0.10151,0.04563,0.16192
uq,0.0004,0,0.01198,0.00408,0.00289,0.00021,0.00029
ur,0.4719,0.51579,1.00923,1.48364,0.26153,0.38755,0.19354
us,0.40866,0.48477,0.48861,0.68677,0.22784,0.46443,0.22313
ut,0.377605,0.41357,0.42947,0.64055,0.11418,0.25242,0.28631
uu,0.00112,0.00112,0.01855,0.00034,0.00994,0.00924,0.00253
uv,0.00391,0.00513,0.19281,0.20287,0.03029,0.02195,0.04109
uw,0.00422,0.00022,0.00183,0,0.00044,0.01568,0.00075
ux,0.00364,0.00179,0.23042,0.27389,0.00196,0.00314,0.00624
uy,0.008435,0.00536,0.00603,0.04859,0.05227,0.00094,0.00149
uz,0.002735,0,0.00599,0.00476,0.01692,0.01574,0.00233
ué,0,0,0.05603,0.03976,0,0,0
uè,0,0,0.00311,0.00272,0,0,0
uê,0,0,0.00477,0.00102,0,0,0
uà,0,0,0.01981,0,0,0,0
uç,0,0,0.00013,0,0,0,0
uâ,0,0,0.00009,0.00102,0,0,0
uî,0,0,0.00026,0,0,0,0
uô,0,0,0.00001,0,0,0,0
u.,0,0.01317,0,0.02583,0,0,0
"u,",0,0.0058,0,0.03976,0,0,0
u-,0,0.00156,0,0.00476,0,0,0
u',0,0.00402,0,0.08292,0,0,0
u/,0,0.00022,0,0,0,0,0
va,0.11753,0.17319,0.21534,0.42647,0.23173,0.03218,0.5396
vb,0.000385,0.00067,0.00037,0.00034,0.00014,0.00269,0.02959
vc,0.000795,0,0.00094,0,0.00223,0.00066,0.00724
vd,0.00114,0.00201,0.00235,0,0.00137,0.00347,0.07925
ve,0.75168,0.76933,0.48502,0.62356,0.26155,0.39608,0.49837
vf,0.00035,0,0.00057,0,0.00027,0.00443,0.03056
vg,0.000345,0,0.00037,0.00238,0.00014,0.00277,0.0211
vh,0.0004,0,0.00032,0,0.00039,0.0016,0.02765
vi,0.24323,0.18368,0.29889,0.24773,0.31759,0.09241,0.38403
vj,0.000145,0,0.00103,0,0.00022,0.00047,0.01448
vk,0.00014,0,0.00031,0,0.00019,0.0015,0.02699
vl,0.00077,0.00692,0.00185,0.00612,0.00142,0.00132,0.03582
vm,0.00046,0,0.00058,0.00034,0.00031,0.00188,0.03392
vn,0.00046,0,0.00084,0,0.00069,0.00105,0.0267
vo,0.06161,0.03593,0.14705,0.49919,0.15508,0.38511,0.04884
vp,0.000825,0.00067,0.00098,0.00136,0.00086,0.00175,0.02048
vq,0.00002,0,0.00032,0,0.00046,0.00004,0.00026
vr,0.001555,0.00312,0.06723,0.09685,0.00065,0.00208,0.03262
vs,0.00265,0.00357,0.0021,0.00272,0.00218,0.00432,0.11943
vt,0.000835,0.00045,0.00056,0,0.00032,0.00134,0.05289
vu,0.002065,0.00179,0.01645,0.05233,0.01467,0.0022,0.04289
vv,0.000305,0.00067,0.00036,0,0.00057,0.0014,0.02046
vw,0.00054,0,0.00008,0,0.00005,0.00398,0.01226
vx,0.000045,0,0.00007,0,0.00005,0.00008,0.00036
vy,0.005145,0.00424,0.00128,0,0.00114,0.00026,0.00389
vz,0.00004,0,0.00006,0,0.00075,0.00126,0.00055
vé,0,0.00022,0.04966,0.06083,0,0,0
vè,0,0,0.00588,0.0034,0,0,0
vê,0,0,0.0051,0.00238,0,0,0
và,0,0,0.00021,0,0,0,0
vç,0,0,0,0,0,0,0
vâ,0,0,0.00009,0,0,0,0
vî,0,0,0.00006,0.00102,0,0,0
vô,0,0,0.00022,0,0,0,0
v.,0,0.00246,0,0.00578,0,0,0
"v,",0,0.00246,0,0.00102,0,0,0
v-,0,0.00759,0,0.00816,0,0,0
v',0,0,0,0,0,0,0
v/,0,0.00022,0,0,0,0,0
wa,0.387375,0.27318,0.02085,0.00578,0.00988,0.24718,0.03318
wb,0.005095,0.00558,0.00077,0.01359,0.0009,0.00206,0.00161
wc,0.00552,0.00089,0.00089,0,0.00033,0.00128,0.00086
wd,0.006775,0.00402,0.00094,0.00068,0.00024,0.00286,0.00081
we,0.33291,0.6285,0.01299,0.01257,0.0056,0.48126,0.02559
wf,0.004695,0.00067,0.00054,0,0.00019,0.00206,0.00092
wg,0.00167,0.00022,0.00025,0,0.00009,0.00172,0.00046
wh,0.32645,0.26917,0.00241,0.00102,0.00044,0.00278,0.00409
wi,0.36312,0.56868,0.01419,0.01801,0.00417,0.37674,0.03663
wj,0.001165,0,0.00033,0,0.00037,0.00257,0.00073
wk,0.002255,0.00067,0.0006,0,0.00013,0.00211,0.00109
wl,0.015215,0.00312,0.00127,0,0.00038,0.00212,0.00157
wm,0.00639,0.00223,0.00061,0,0.00026,0.00581,0.00114
wn,0.081695,0.05981,0.00268,0.00136,0.00076,0.00385,0.00357
wo,0.216175,0.23256,0.00657,0.00612,0.00342,0.12408,0.01098
wp,0.00409,0.00982,0.00059,0.00985,0.00018,0.00188,0.00072
wq,0.00019,0,0.00019,0,0.00007,0.00002,0.00002
wr,0.029565,0.01629,0.00158,0,0.00029,0.0033,0.00271
ws,0.040535,0.03794,0.0031,0.0034,0.00114,0.0086,0.00473
wt,0.018315,0.00246,0.00081,0,0.00025,0.00156,0.0014
